SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1597.00,1617.10,1592.25,1603.35,1605.00,1605.45,638,21952,35206009.00,
500003,AEGIS LOGIS ,A ,Q,202.00,202.00,198.00,199.35,198.00,201.85,152,23735,4746440.00,
500008,AMAR RAJA BA,A ,Q,627.00,635.05,616.65,620.15,620.00,619.95,1395,33688,21114367.00,
500009,A.SARABHAI  ,X ,Q,13.50,13.94,13.50,13.66,13.88,13.68,44,10416,141924.00,
500010,HDFC        ,A ,Q,2201.75,2205.75,2178.55,2192.05,2195.00,2194.45,2162,40502,88848064.00,
500012,ANDHRA PETRO,X ,Q,55.40,55.40,53.40,53.90,53.40,55.30,146,17341,937994.00,XD
500013,ANSAL INFRAS,B ,Q,6.00,6.10,5.61,5.73,5.79,5.85,92,17777,102783.00,
500014,APPLE FINANC,XT,Q,1.45,1.50,1.45,1.45,1.45,1.43,20,1298,1896.00,
500016,ARUNAHTEL   ,XT,Q,5.93,5.93,5.93,5.93,5.93,5.65,4,357,2117.00,
500020,BOM DYEING  ,A ,Q,104.40,110.80,100.80,107.75,107.75,103.45,5789,513011,54769740.00,
500023,ASIANHOTNR  ,B ,Q,128.00,130.00,128.00,130.00,130.00,130.00,4,53,6786.00,
500024,ASSAMCO     ,T ,Q,1.14,1.26,1.14,1.26,1.26,1.20,59,109190,130808.00,
500027,ATUL LTD.   ,A ,Q,3957.10,3983.85,3957.10,3979.60,3979.60,3935.10,169,1288,5124210.00,
500028,ATV PROJECTS,XT,Q,3.50,3.54,3.50,3.54,3.54,3.38,9,3229,11337.00,
500029,AUTOLITE(I) ,Z ,Q,24.50,24.95,24.15,24.15,24.15,23.80,9,1152,28355.00,
500031,BAJAJ ELECT.,A ,Q,526.75,531.40,526.30,530.10,531.05,524.55,132,2072,1095312.00,
500032,BAJAJHIND   ,B ,Q,8.00,8.00,7.66,7.71,7.71,7.75,91,60748,468385.00,
500033,FORCE MOTR  ,A ,Q,1447.05,1465.00,1412.00,1415.55,1415.55,1447.05,683,5983,8548229.00,
500034,BAJFINANCE  ,A ,Q,3630.00,3695.00,3630.00,3682.30,3678.40,3640.15,2723,43456,159291086.00,
500038,BALRAM.CHINI,A ,Q,140.55,141.90,136.70,139.10,139.10,140.20,1240,90795,12624193.00,
500039,BANCO PROD. ,B ,Q,120.00,122.60,118.10,119.30,119.40,119.10,92,4462,536158.00,
500040,CENTURY TEXT,A ,Q,964.75,969.95,946.65,948.40,948.40,960.90,630,17788,17012748.00,
500041,BANNARI AMAN,B ,Q,1497.95,1497.95,1405.00,1452.25,1457.65,1406.00,16,24,34770.00,
500042,BASF INDIA  ,A ,Q,1328.15,1355.55,1311.30,1342.15,1342.25,1320.05,210,677,904752.00,
500043,BATA INDIA  ,A ,Q,1447.00,1454.30,1441.60,1445.35,1444.00,1447.15,1122,37529,54291610.00,
500048,BEML LTD    ,A ,Q,901.50,929.00,900.00,912.55,912.55,904.80,2271,117603,107196038.00,
500049,BHARAT ELECT,A ,Q,115.05,116.00,111.80,112.45,112.45,115.00,2474,557243,63357740.00,
500052,BHANSALI ENG,B ,Q,65.45,65.45,62.70,62.90,63.00,65.05,440,49098,3124173.00,
500055,TATASTLBSL  ,B ,Q,30.95,30.95,29.55,29.80,29.75,30.15,161,42185,1260467.00,
500058,BIHAR SPONGE,XT,Q,0.98,0.98,0.98,0.98,0.98,1.03,3,706,691.00,
500059,BINANI IND. ,Z ,Q,11.80,11.80,11.80,11.80,11.80,12.40,33,5561,65619.00,
500060,BIRLACABLE  ,B ,Q,94.70,94.70,90.25,91.05,91.05,91.40,108,4694,432077.00,
500067,BLUE STAR   ,A ,Q,751.10,793.80,751.10,775.25,780.00,761.55,517,4602,3580316.00,
500068,DISA INDIA  ,X ,Q,5750.00,5800.00,5720.00,5742.75,5800.00,5759.00,7,16,91891.00,
500069,BNK CAPITAL ,X ,Q,90.00,90.50,86.95,88.65,86.95,86.25,10,1374,123798.00,
500074,BPL LTD.    ,B ,Q,22.15,22.45,21.45,21.75,22.00,22.25,73,7726,169083.00,
500078,OAL         ,X ,Q,217.55,223.80,213.20,215.70,215.00,219.10,48,988,213324.00,
500083,CENTURY EXT ,B ,Q,3.85,3.99,3.83,3.88,3.88,3.95,25,14762,57444.00,
500084,CESC LTD.   ,A ,Q,785.45,790.10,781.95,783.55,785.20,782.55,321,8223,6470329.00,
500085,CHAMBAL FERT,A ,Q,173.00,178.40,171.75,175.50,175.50,173.45,789,30760,5409403.00,
500086,EXIDE IND.  ,A ,Q,205.00,206.00,200.90,201.30,201.00,205.00,548,35687,7245377.00,
500087,CIPLA LTD.  ,A ,Q,553.00,556.55,546.50,552.45,554.00,552.00,475,25978,14320979.00,
500089,DIC INDIA   ,B ,Q,318.00,319.00,313.25,318.50,318.00,329.85,7,71,22488.00,
500092,CRISIL LTD  ,A ,Q,1487.10,1494.50,1475.00,1485.85,1481.80,1484.75,151,749,1112281.00,
500093,CGPOWER     ,A ,Q,29.20,29.40,28.45,28.55,28.55,29.50,429,147796,4248204.00,
500096,DABUR (I)   ,A ,Q,402.55,402.55,394.60,400.50,398.50,401.05,687,35765,14251248.00,
500097,DALMIASUG   ,B ,Q,106.00,108.70,102.85,107.25,108.40,105.50,334,16773,1774025.00,
500101,ARVIND Ltd  ,A ,Q,66.45,66.50,62.90,63.25,63.25,66.15,1162,303225,19586373.00,
500102,BALARPUR IND,B ,Q,1.94,1.95,1.90,1.92,1.92,1.94,47,22412,43374.00,
500103,BHEL        ,A ,Q,74.75,74.75,72.50,73.10,73.10,74.75,1999,610946,44982990.00,
500104,HIND.PETRO  ,A ,Q,288.95,292.10,287.05,289.85,289.00,288.95,1124,179694,52147500.00,
500106,IFCI LTD    ,A ,Q,9.78,9.78,9.13,9.19,9.19,9.83,19646,407518,3784113.00,
500108,MAHA.TELE   ,B ,Q,9.00,9.30,8.43,8.50,8.50,8.94,1181,520436,4627270.00,
500109,MRPL        ,A ,Q,60.60,60.90,60.20,60.45,60.40,60.85,113,14294,865672.00,
500110,CHENNAI PET.,A ,Q,209.30,210.65,207.55,208.05,208.10,208.10,251,12202,2545944.00,
500111,REL.CAP.    ,A ,Q,70.00,71.80,65.50,66.15,66.15,70.70,16311,5290290,362740658.00,
500112,STATE BANK  ,A ,Q,362.00,364.85,358.90,360.90,360.90,362.05,6414,757668,274707071.00,
500113,STEEL AUTH. ,A ,Q,52.45,52.75,50.25,50.70,50.70,52.20,2528,988720,51046088.00,
500114,TITAN       ,A ,Q,1320.00,1336.80,1318.00,1334.85,1334.00,1328.80,1238,31463,41776847.00,
500116,IDBI BANK L ,A ,Q,36.00,37.50,35.20,35.50,35.50,35.90,1554,669227,24341812.00,
500117,DCW LTD.    ,B ,Q,17.00,17.00,16.45,16.55,16.75,17.05,128,51643,860514.00,
500119,DHAMPUR SUGA,B ,Q,190.95,191.80,185.00,189.00,189.00,189.80,611,25747,4842275.00,
500120,DIAMINES&CHM,X ,Q,124.00,129.90,120.20,128.70,128.70,122.10,110,6827,862272.00,
500123,ELANTAS     ,B ,Q,2030.00,2074.00,2020.00,2066.40,2074.00,2032.00,121,563,1148598.00,
500124,DR.REDDY'S  ,A ,Q,2580.00,2612.90,2536.90,2549.80,2555.00,2562.40,1458,26824,69216241.00,
500125,E.I.D.PAR   ,A ,Q,171.20,186.40,171.10,182.90,182.90,169.90,1636,72325,13179919.00,
500126,PGHL        ,A ,Q,3968.35,4139.90,3965.00,4106.05,4106.05,3972.10,791,2153,8806582.00,
500128,ELEC.CASTING,B ,Q,16.60,17.00,16.05,16.45,16.40,16.85,106,11826,195037.00,
500132,EMPEE SUGARS,Z ,Q,0.81,0.81,0.81,0.81,0.81,0.81,1,40,32.00,
500133,ESAB INDIA  ,B ,Q,1165.00,1165.00,1144.00,1144.25,1144.00,1157.10,15,127,146193.00,
500135,ESSEL PROP  ,B ,Q,129.60,132.10,129.05,130.50,132.10,129.35,92,52959,6881996.00,
500136,ESTER INDUS.,B ,Q,30.15,30.55,29.85,30.00,29.90,30.30,37,3266,99092.00,
500141,FERRO ALLOYS,X ,Q,3.06,3.28,3.00,3.10,3.10,3.16,69,28857,89496.00,
500142,FGP LTD.    ,X ,Q,2.95,2.95,2.90,2.90,2.90,2.95,2,200,585.00,
500144,FINOL. CABLE,A ,Q,442.20,444.00,440.00,440.30,440.00,442.20,156,1953,862050.00,
500147,CMI FPE     ,X ,Q,1065.05,1116.00,1052.50,1099.65,1115.00,1065.10,41,602,660171.00,
500148,UFLEX LTD   ,A ,Q,244.55,246.30,241.90,242.15,242.70,244.85,383,18320,4466502.00,
500151,GOLDEN TOB  ,B ,Q,33.35,35.45,32.30,33.40,33.40,35.00,12,580,19172.00,
500153,GANESH BENZO,X ,Q,39.00,39.95,39.00,39.40,39.40,39.50,59,9762,383785.00,
500155,GARDEN SILK ,B ,Q,14.90,14.90,14.20,14.30,14.35,14.65,38,2117,30660.00,
500159,METROGLOBL  ,X ,Q,57.00,66.95,57.00,58.05,58.05,58.10,7,54,3213.00,
500160,GTL LTD.    ,B ,Q,2.66,2.88,2.66,2.82,2.88,2.75,26,24206,68338.00,
500163,GODFREY PH  ,A ,Q,847.00,848.40,826.15,832.30,829.90,841.85,234,4163,3479350.00,
500164,GODREJ IND  ,A ,Q,493.00,493.70,481.50,483.65,485.90,488.20,163,4204,2045984.00,
500165,KANSAI NERO ,A ,Q,440.65,444.20,438.20,440.60,440.60,439.70,176,1884,830665.00,
500166,GOODRICKE   ,X ,Q,178.80,180.00,177.10,179.20,179.20,178.95,34,2047,365690.00,
500168,GOODYEAR (I),B ,Q,958.00,964.90,948.25,963.05,963.05,956.40,223,4623,4429192.00,
500170,GTN INDUS   ,B ,Q,8.15,8.15,8.15,8.15,8.15,7.66,1,1,8.00,
