SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1497.00,1497.00,1464.00,1468.30,1468.30,1491.05,360,2374,3509377.00,
500003,AEGIS LOGIS ,A ,Q,166.00,184.20,165.80,179.05,180.00,165.25,2076,66780,11858577.00,
500008,AMAR RAJA BA,A ,Q,751.00,751.00,729.20,748.95,751.00,732.65,2252,56674,42067203.00,
500009,A.SARABHAI  ,X ,Q,10.50,11.80,10.38,10.59,10.40,10.34,113,27077,292567.00,
500010,HDFC        ,A ,Q,2210.20,2232.00,2191.00,2225.10,2225.10,2207.70,2426,65232,144321192.00,
500012,ANDHRA PETRO,X ,Q,36.20,36.20,34.00,34.40,34.40,35.10,207,32179,1105398.00,
500013,ANSAL INFRAS,B ,Q,5.45,5.45,5.27,5.27,5.27,5.54,32,9614,50767.00,
500014,APPLE FINANC,X ,Q,1.15,1.20,1.15,1.15,1.15,1.15,9,2596,2988.00,
500020,BOM DYEING  ,A ,Q,82.50,84.15,80.25,80.70,80.70,82.75,2631,304802,25046366.00,
500023,ASIANHOTNR  ,B ,Q,100.00,100.00,93.00,93.60,95.00,100.10,29,569,53608.00,
500027,ATUL LTD.   ,A ,Q,4074.00,4096.10,3966.10,3976.40,3976.40,4022.85,424,1447,5791978.00,
500028,ATV PROJECTS,XT,Q,4.00,4.15,3.85,3.90,3.90,4.00,6,266,1062.00,
500029,AUTOLITE(I) ,B ,Q,20.25,22.70,20.25,21.60,21.55,22.20,189,3717,79242.00,
500031,BAJAJ ELECT.,A ,Q,325.10,340.00,319.00,321.70,322.05,325.10,561,6804,2204298.00,
500032,BAJAJHIND   ,B ,Q,7.34,7.34,6.45,6.62,6.59,7.30,3466,578410,3984506.00,
500033,FORCE MOTR  ,A ,Q,1061.00,1075.00,1045.10,1051.90,1046.35,1065.15,824,5415,5739381.00,
500034,BAJFINANCE  ,A ,Q,4125.00,4222.25,4120.60,4211.95,4211.95,4143.70,3969,47187,197515821.00,
500038,BALRAM.CHINI,A ,Q,144.90,147.60,144.10,146.70,146.70,144.35,1376,46289,6766902.00,
500039,BANCO PROD. ,B ,Q,100.00,102.00,98.55,99.15,99.10,101.65,372,6594,663884.00,
500040,CENTURY TEXT,A ,Q,397.90,411.40,383.20,406.00,406.00,390.35,2167,215868,87108284.00,
500041,BANNARI AMAN,B ,Q,1150.00,1150.00,1148.00,1148.00,1148.00,1189.00,4,13,14946.00,
500042,BASF INDIA  ,A ,Q,1000.80,1001.00,961.65,966.75,966.75,996.25,364,1243,1211817.00,
500043,BATA INDIA  ,A ,Q,1683.85,1775.65,1683.85,1710.10,1710.10,1683.85,4505,87967,151663888.00,
500048,BEML LTD    ,A ,Q,957.80,957.80,945.05,949.85,948.60,961.75,693,14770,14036998.00,
500049,BHARAT ELECT,A ,Q,109.80,110.85,108.85,109.25,109.25,109.10,1529,271617,29771167.00,
500052,BHANSALI ENG,B ,Q,49.20,50.35,48.45,48.70,48.70,48.95,761,71005,3489871.00,
500055,TATASTLBSL  ,B ,Q,27.00,27.00,24.55,24.70,24.70,24.95,148,99096,2453578.00,
500058,BIHAR SPONGE,XT,Q,0.55,0.59,0.55,0.55,0.55,0.57,10,5326,3094.00,
500060,BIRLACABLE  ,B ,Q,67.05,68.30,63.50,63.50,63.55,66.80,395,39885,2556767.00,
500067,BLUE STAR   ,A ,Q,820.80,820.90,792.15,795.20,795.20,795.05,577,4074,3274717.00,
500068,DISA INDIA  ,X ,Q,5199.95,5199.95,5069.00,5069.00,5069.00,5118.00,8,14,71825.00,
500069,BNK CAPITAL ,X ,Q,79.50,79.50,79.50,79.50,79.50,77.95,1,30,2385.00,
500074,BPL LTD.    ,B ,Q,19.20,21.20,18.85,19.35,19.35,19.30,364,57447,1174243.00,
500078,OAL         ,B ,Q,190.30,190.30,188.00,188.00,188.00,192.00,17,487,91868.00,
