SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
540680,KIOCL       ,B ,Q,107.65,112.00,107.65,109.05,109.00,109.40,47,4475,495353.00,
540686,SMRUTHIORG  ,X ,Q,116.95,117.00,116.95,117.00,117.00,113.95,2,6,701.00,
540691,ABCAPITAL   ,T ,Q,91.20,96.50,89.90,95.55,95.55,91.95,1045,153715,14516174.00,
540692,APEX        ,B ,Q,267.05,275.80,267.05,270.55,269.85,272.25,424,5219,1419393.00,
540695,DWL         ,M ,Q,79.05,79.20,79.05,79.20,79.20,78.10,4,6000,474750.00,
540698,NEL         ,MT,Q,1.15,1.15,1.15,1.15,1.15,1.21,1,4000,4600.00,
540699,DIXON       ,B ,Q,3479.00,3480.00,3422.00,3437.80,3444.00,3453.30,160,551,1898903.00,
540700,BRNL        ,B ,Q,58.55,59.95,58.35,59.10,59.80,58.90,23,352,20744.00,
540701,DCAL        ,A ,Q,123.00,123.90,116.50,119.95,118.50,123.00,399,8147,977953.00,
540702,LASA        ,B ,Q,17.70,18.15,17.05,17.45,17.45,17.90,70,38539,676075.00,
540704,MATRIMONY   ,B ,Q,461.35,461.35,445.30,446.30,446.00,463.10,32,200,91230.00,
540709,RELHOME     ,B ,Q,3.00,3.04,2.98,2.98,2.98,3.13,86,56186,167654.00,
540710,CAPACITE    ,B ,Q,184.95,185.50,168.15,173.80,172.10,185.90,939,17636,3127304.00,
540715,SAGAR       ,M ,Q,10.00,10.00,9.75,9.80,9.80,10.20,3,51000,498900.00,
540716,ICICIGI     ,A ,Q,1348.65,1355.65,1316.85,1339.30,1341.50,1349.60,2459,15062,20156217.00,
540719,SBILIFE     ,A ,Q,940.50,971.85,924.50,966.10,966.10,949.50,4397,41095,39096167.00,
540724,DIAMONDYD   ,B ,Q,846.35,853.45,846.35,849.25,849.15,842.05,7,26,22070.00,
540725,SISL        ,B ,Q,82.45,82.50,75.00,82.00,82.00,79.50,27,2665,214765.00,
540726,TTFL        ,M ,Q,91.00,91.10,91.00,91.00,91.00,84.60,4,4000,364150.00,
540728,SAYAJIIND   ,X ,Q,124.05,125.00,124.05,125.00,125.00,130.00,6,371,46374.00,
540730,MEHAI       ,T ,Q,172.00,175.00,172.00,175.00,175.00,172.90,75,820,142429.00,
540737,SGRL        ,M ,Q,84.50,84.75,80.00,80.00,80.00,81.00,9,13500,1119825.00,
540743,GODREJAGRO  ,A ,Q,491.55,500.40,491.55,497.05,496.60,492.60,312,2306,1144529.00,
540744,MESCON      ,XT,Q,7.25,7.30,7.00,7.00,7.00,7.03,7,314,2270.00,
540749,MASFIN      ,B ,Q,811.95,830.30,804.00,815.50,815.35,804.40,588,3582,2909872.00,
540750,IEX         ,A ,Q,139.10,140.85,138.00,139.30,140.65,140.25,239,5160,720891.00,
540755,GICRE       ,A ,Q,239.70,239.70,226.60,231.55,231.55,237.80,1118,32774,7585685.00,
540757,SCPL        ,M ,Q,134.00,142.00,134.00,140.55,141.90,138.55,31,51200,7167800.00,
540762,TIINDIA     ,A ,Q,486.00,486.00,469.20,479.00,469.20,482.50,73,693,333555.00,
540767,RNAM        ,A ,Q,330.60,346.50,328.95,343.75,343.75,329.75,4975,169882,57440258.00,
540768,MAHLOG      ,A ,Q,375.75,385.00,375.75,380.35,380.50,378.80,615,3942,1508400.00,
540769,NIACL       ,A ,Q,141.30,141.40,132.00,135.10,135.10,139.40,1300,46627,6281946.00,
540775,KHADIM      ,B ,Q,170.85,173.50,168.30,169.25,169.40,169.45,72,1237,211651.00,
540776,5PAISA      ,B ,Q,182.00,182.00,167.05,171.15,171.15,172.00,8,223,38147.00,
540777,HDFCLIFE    ,A ,Q,572.00,575.00,565.70,572.60,572.60,570.80,2717,91887,52346907.00,
