SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1498.80,1522.00,1472.10,1486.20,1486.20,1484.25,422,2855,4282756.00,
500003,AEGIS LOGIS ,A ,Q,187.65,189.95,180.00,182.25,182.70,185.80,861,10980,2034059.00,
500008,AMAR RAJA BA,A ,Q,740.35,743.45,736.00,741.60,743.00,736.05,312,9376,6937332.00,
500009,A.SARABHAI  ,X ,Q,16.80,17.45,16.55,16.80,16.85,15.87,324,117518,2008479.00,
500010,HDFC        ,A ,Q,2321.25,2365.00,2318.00,2352.90,2352.90,2318.40,3820,102533,241138034.00,
500012,ANDHRA PETRO,X ,Q,30.95,31.20,29.50,29.75,29.75,30.30,235,41883,1252019.00,
500013,ANSAL INFRAS,B ,Q,4.29,4.64,4.28,4.51,4.60,4.44,17,6709,30065.00,
500014,APPLE FINANC,X ,Q,0.95,1.03,0.95,1.03,1.03,0.99,5,708,700.00,
500016,ARUNAHTEL   ,XT,Q,5.70,6.28,5.70,6.28,6.28,5.99,2,160,970.00,
500020,BOM DYEING  ,A ,Q,73.40,75.30,72.90,74.40,74.40,72.70,2080,231886,17213402.00,
500027,ATUL LTD.   ,A ,Q,4019.40,4046.00,4014.00,4037.70,4030.00,4001.85,251,791,3187399.00,
500028,ATV PROJECTS,XT,Q,3.42,3.50,3.25,3.25,3.25,3.42,23,16000,52229.00,
500029,AUTOLITE(I) ,B ,Q,20.10,21.65,20.00,20.10,20.10,20.20,43,1034,20799.00,
500031,BAJAJ ELECT.,A ,Q,334.00,334.00,328.95,330.95,330.95,327.95,450,2717,898798.00,
500032,BAJAJHIND   ,B ,Q,6.22,6.50,6.15,6.45,6.45,6.15,460,338347,2123738.00,
500033,FORCE MOTR  ,A ,Q,973.80,980.90,962.00,964.00,963.60,971.15,1357,7607,7364242.00,
500034,BAJFINANCE  ,A ,Q,4066.00,4089.75,4045.00,4070.65,4074.00,4056.15,1898,19076,77632084.00,
500038,BALRAM.CHINI,A ,Q,164.65,172.00,163.05,170.50,170.50,163.55,1578,114659,19328126.00,
500039,BANCO PROD. ,B ,Q,93.15,96.55,93.10,94.90,95.00,92.40,194,5287,503920.00,
500040,CENTURY TEXT,A ,Q,497.00,507.55,495.50,501.00,500.55,496.10,943,56627,28435481.00,
500041,BANNARI AMAN,B ,Q,1215.00,1215.00,1150.00,1184.60,1200.00,1137.00,32,91,107269.00,
500042,BASF INDIA  ,A ,Q,972.20,980.35,960.00,970.70,977.00,965.25,103,472,458192.00,
500043,BATA INDIA  ,A ,Q,1705.00,1737.30,1705.00,1722.95,1722.95,1710.90,1127,61859,106806533.00,
500048,BEML LTD    ,A ,Q,994.75,1004.45,985.60,991.90,991.90,985.70,899,22793,22726140.00,
500049,BHARAT ELECT,A ,Q,100.15,101.10,98.50,100.00,100.00,98.80,1642,370097,36919031.00,
500052,BHANSALI ENG,B ,Q,43.00,43.80,41.00,42.75,42.45,42.50,2444,165629,7006416.00,
500055,TATASTLBSL  ,B ,Q,26.10,27.40,26.10,27.05,27.05,26.35,232,74911,2017517.00,
500058,BIHAR SPONGE,XT,Q,0.51,0.55,0.51,0.55,0.55,0.53,5,1650,885.00,
500060,BIRLACABLE  ,B ,Q,55.75,55.90,55.00,55.35,55.00,54.80,111,3401,188372.00,
500067,BLUE STAR   ,A ,Q,796.95,798.00,792.55,796.85,796.40,790.90,90,982,780594.00,
500068,DISA INDIA  ,X ,Q,4750.00,4820.00,4740.00,4740.00,4740.00,4741.00,8,7688,36444650.00,
500069,BNK CAPITAL ,X ,Q,73.70,73.70,69.25,69.25,69.25,70.60,2,64,4489.00,
500074,BPL LTD.    ,B ,Q,19.80,20.70,18.55,19.75,19.75,18.50,612,129068,2573009.00,
500078,OAL         ,B ,Q,170.20,181.95,170.20,173.95,181.95,173.00,13,633,110864.00,
500083,CENTURY EXT ,B ,Q,2.40,2.55,2.40,2.42,2.41,2.40,10,7590,18611.00,
500084,CESC LTD.   ,A ,Q,729.15,738.20,729.00,734.00,734.25,726.55,109,3586,2628422.00,
500085,CHAMBAL FERT,A ,Q,146.25,150.35,145.05,145.60,145.60,146.10,996,29552,4364890.00,
500086,EXIDE IND.  ,A ,Q,185.00,186.55,184.00,186.00,186.15,184.75,1002,81389,15106532.00,
500087,CIPLA LTD.  ,A ,Q,462.00,464.80,456.55,461.35,461.35,460.60,1065,47653,21968141.00,
500089,DIC INDIA   ,B ,Q,310.00,310.00,310.00,310.00,310.00,307.75,1,10,3100.00,
500092,CRISIL LTD  ,A ,Q,1720.00,1728.00,1688.45,1717.40,1712.15,1704.45,159,546,936200.00,
500093,CGPOWER     ,A ,Q,11.84,12.14,11.58,12.14,12.14,11.57,400,365839,4419654.00,
500096,DABUR (I)   ,A ,Q,457.00,462.50,457.00,459.90,460.10,457.30,437,16994,7819775.00,
500097,DALMIASUG   ,B ,Q,83.20,84.90,82.50,84.30,83.75,82.30,247,7027,590975.00,
500101,ARVIND Ltd  ,A ,Q,36.00,39.80,35.35,38.60,38.60,35.05,2639,653598,24932779.00,
500102,BALARPUR IND,T ,Q,0.54,0.54,0.51,0.51,0.51,0.53,34,136981,69864.00,
500103,BHEL        ,A ,Q,45.00,46.80,45.00,46.65,46.65,45.20,2562,1134433,52380773.00,
500104,HIND.PETRO  ,A ,Q,268.85,268.85,263.50,267.45,267.45,265.85,1414,268252,71651108.00,
500106,IFCI LTD    ,A ,Q,6.56,6.68,6.56,6.63,6.63,6.50,286,314953,2084204.00,
500108,MAHA.TELE   ,B ,Q,8.34,8.34,8.34,8.34,8.34,7.95,51,38939,324751.00,
500109,MRPL        ,A ,Q,45.05,45.30,44.35,44.45,44.45,44.80,269,28170,1257740.00,
500110,CHENNAI PET.,A ,Q,114.90,117.00,114.50,115.75,115.40,114.55,413,10699,1241448.00,
500111,REL.CAP.    ,A ,Q,10.10,10.90,9.95,10.85,10.85,10.40,1396,880068,9426634.00,
500112,STATE BANK  ,A ,Q,325.00,333.55,324.85,332.70,332.70,321.80,20117,1901460,627106335.00,
500113,STEEL AUTH. ,A ,Q,40.50,41.75,40.15,40.60,40.60,39.80,3320,2855694,116553098.00,
500114,TITAN       ,A ,Q,1190.00,1203.50,1182.25,1186.20,1183.50,1187.75,1593,39373,46964341.00,
500116,IDBI BANK L ,A ,Q,40.10,40.60,38.20,38.50,38.50,36.90,3315,1155453,45065058.00,
500117,DCW LTD.    ,B ,Q,12.73,12.80,12.30,12.55,12.59,12.42,90,35457,443336.00,
500119,DHAMPUR SUGA,B ,Q,188.85,198.90,187.50,197.70,197.70,186.90,1473,62074,12079587.00,
500120,DIAMINES&CHM,X ,Q,116.60,119.50,116.60,118.85,118.85,115.85,98,6086,721066.00,
500123,ELANTAS     ,B ,Q,2245.00,2250.00,2211.10,2249.80,2249.80,2239.40,12,35,78410.00,
500124,DR.REDDY'S  ,A ,Q,2870.00,2870.00,2774.00,2822.85,2827.10,2905.50,3435,45474,127877662.00,
500125,E.I.D.PAR   ,A ,Q,196.10,206.40,195.95,204.75,204.75,195.40,1723,67930,13755198.00,
