SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1457.55,1534.90,1420.00,1491.05,1491.05,1457.05,2148,15687,23013716.00,
500003,AEGIS LOGIS ,A ,Q,164.30,166.10,161.10,165.25,165.00,164.35,134,2453,403597.00,
500008,AMAR RAJA BA,A ,Q,718.30,739.70,718.25,732.65,732.65,718.30,3940,88535,64814916.00,
500009,A.SARABHAI  ,X ,Q,10.47,10.47,10.08,10.34,10.34,10.43,25,12563,129686.00,
500010,HDFC        ,A ,Q,2229.75,2232.00,2196.00,2207.70,2209.65,2234.95,3573,121138,268946057.00,
500012,ANDHRA PETRO,X ,Q,36.80,36.90,35.00,35.10,35.50,36.70,311,38504,1377357.00,
500013,ANSAL INFRAS,B ,Q,5.83,6.11,5.54,5.54,5.54,5.83,93,30129,168351.00,
500014,APPLE FINANC,X ,Q,1.19,1.19,1.15,1.15,1.15,1.15,21,18475,21371.00,
500016,ARUNAHTEL   ,XT,Q,6.15,6.31,6.15,6.31,6.31,6.01,2,250,1561.00,
500020,BOM DYEING  ,A ,Q,88.50,88.50,82.10,82.75,82.75,91.05,5332,667160,56713255.00,
500027,ATUL LTD.   ,A ,Q,4170.00,4170.00,4015.00,4022.85,4015.00,4113.05,343,1164,4736909.00,
500028,ATV PROJECTS,XT,Q,4.00,4.26,3.86,4.00,4.25,4.06,33,5711,23407.00,
500029,AUTOLITE(I) ,B ,Q,20.25,23.15,20.25,22.20,23.15,21.50,7,902,19463.00,
500031,BAJAJ ELECT.,A ,Q,320.00,334.50,320.00,325.10,325.10,320.75,1219,13686,4499971.00,
500032,BAJAJHIND   ,B ,Q,8.25,8.40,7.14,7.30,7.20,8.19,1458,1389067,10920193.00,
500033,FORCE MOTR  ,A ,Q,1083.25,1104.35,1061.15,1065.15,1065.15,1082.70,855,6408,6914910.00,
500034,BAJFINANCE  ,A ,Q,4188.00,4188.00,4132.60,4143.70,4143.70,4168.95,3604,28057,116476953.00,
500038,BALRAM.CHINI,A ,Q,150.10,150.10,142.65,144.35,144.35,149.80,2205,93021,13645677.00,
500039,BANCO PROD. ,B ,Q,107.00,107.00,101.25,101.65,101.65,107.60,613,17219,1769377.00,
500040,CENTURY TEXT,A ,Q,393.05,421.65,388.95,390.35,390.35,388.25,8752,586929,236228143.00,
500041,BANNARI AMAN,B ,Q,1221.00,1221.00,1150.00,1189.00,1150.00,1146.45,4,4,4755.00,
500042,BASF INDIA  ,A ,Q,995.00,1020.00,993.60,996.25,994.60,989.55,531,1496,1499448.00,
500043,BATA INDIA  ,A ,Q,1710.00,1710.00,1677.50,1683.85,1683.85,1704.05,1402,24570,41472782.00,
500048,BEML LTD    ,A ,Q,980.00,980.00,955.00,961.75,961.50,979.75,1056,26813,25842207.00,
500049,BHARAT ELECT,A ,Q,109.00,109.50,107.25,109.10,109.10,108.85,1604,270062,29345819.00,
500052,BHANSALI ENG,B ,Q,49.95,50.85,48.45,48.95,48.80,49.60,506,45654,2265479.00,
500055,TATASTLBSL  ,B ,Q,25.25,25.75,24.80,24.95,24.95,25.35,209,53691,1364495.00,
500058,BIHAR SPONGE,XT,Q,0.59,0.59,0.57,0.57,0.57,0.59,3,7700,4489.00,
500060,BIRLACABLE  ,B ,Q,72.00,73.00,66.05,66.80,66.80,72.55,727,48781,3334711.00,
500067,BLUE STAR   ,A ,Q,792.45,801.00,788.90,795.05,795.05,791.15,503,2307,1832161.00,
500068,DISA INDIA  ,X ,Q,5605.00,5605.00,5035.00,5118.00,5096.00,5111.00,32,42,213886.00,
500069,BNK CAPITAL ,X ,Q,77.90,78.30,74.10,77.95,78.00,74.95,8,273,20913.00,
500074,BPL LTD.    ,B ,Q,19.80,20.30,19.10,19.30,19.30,19.85,133,18878,373068.00,
500078,OAL         ,B ,Q,198.00,198.00,191.10,192.00,192.00,197.50,92,1336,258688.00,
500083,CENTURY EXT ,B ,Q,2.93,2.93,2.71,2.76,2.71,2.93,11,3149,8673.00,
500084,CESC LTD.   ,A ,Q,768.20,776.40,749.95,752.05,752.05,768.20,680,10201,7728266.00,
500085,CHAMBAL FERT,A ,Q,171.00,173.45,163.85,164.95,164.95,172.80,1156,46305,7798464.00,
500086,EXIDE IND.  ,A ,Q,191.50,193.80,186.25,187.25,187.50,190.65,2336,171367,32566324.00,
500087,CIPLA LTD.  ,A ,Q,453.00,455.00,446.25,448.25,448.25,454.50,1004,46026,20765211.00,
500089,DIC INDIA   ,B ,Q,317.20,326.80,317.20,326.75,326.75,327.95,21,75,24118.00,
500092,CRISIL LTD  ,A ,Q,1488.80,1488.80,1390.70,1408.15,1411.00,1421.05,360,1588,2248286.00,
500093,CGPOWER     ,A ,Q,16.68,16.71,16.13,16.62,16.62,15.92,466,412408,6855615.00,
500096,DABUR (I)   ,A ,Q,477.50,480.60,462.25,463.70,463.70,477.30,1081,46272,21780278.00,
500097,DALMIASUG   ,B ,Q,90.85,91.45,89.40,90.05,90.20,91.60,174,13657,1233615.00,
500101,ARVIND Ltd  ,A ,Q,52.05,52.20,50.05,50.45,50.25,51.85,590,113059,5787445.00,
500102,BALARPUR IND,B ,Q,0.49,0.51,0.47,0.48,0.48,0.49,194,2062419,1026034.00,
500103,BHEL        ,A ,Q,56.70,57.85,54.15,54.55,54.20,56.80,4763,2487300,139348600.00,
500104,HIND.PETRO  ,A ,Q,298.90,299.50,288.00,291.40,291.40,298.60,1573,168713,49404204.00,
500106,IFCI LTD    ,A ,Q,7.98,7.98,7.55,7.60,7.60,7.99,645,606501,4691782.00,
500108,MAHA.TELE   ,T ,Q,11.59,11.59,11.50,11.59,11.59,11.04,715,561178,6503634.00,
500109,MRPL        ,A ,Q,48.40,49.30,47.95,48.00,48.00,48.15,279,33608,1634089.00,
500110,CHENNAI PET.,A ,Q,155.00,155.00,146.10,146.45,146.80,151.30,819,8127,1209961.00,
500111,REL.CAP.    ,A ,Q,23.30,23.30,23.30,23.30,23.30,24.50,195,92053,2144834.00,
500112,STATE BANK  ,A ,Q,317.45,318.50,305.60,306.55,306.55,318.30,13444,1185213,369646482.00,
500113,STEEL AUTH. ,A ,Q,39.40,39.85,37.55,37.85,37.85,39.60,3085,1829932,71256739.00,
500114,TITAN       ,A ,Q,1156.75,1167.00,1151.15,1159.50,1159.50,1156.25,4124,88609,102598738.00,
500116,IDBI BANK L ,A ,Q,33.70,33.85,32.00,32.15,32.15,33.35,804,468719,15414088.00,
500117,DCW LTD.    ,B ,Q,14.85,15.40,14.75,14.95,14.90,14.95,133,25616,388114.00,
500119,DHAMPUR SUGA,B ,Q,197.00,198.65,185.90,188.50,188.50,209.25,1983,83006,15979480.00,
500120,DIAMINES&CHM,X ,Q,151.00,165.95,140.00,143.85,143.85,143.30,2142,167002,25439783.00,
500123,ELANTAS     ,B ,Q,2435.00,2435.00,2321.00,2337.95,2321.00,2377.00,62,486,1146561.00,
500124,DR.REDDY'S  ,A ,Q,2815.00,2823.10,2755.50,2761.90,2755.50,2815.05,576,5618,15601031.00,
500125,E.I.D.PAR   ,A ,Q,167.50,195.40,166.40,194.70,194.70,162.85,5104,312060,58842367.00,
500126,PGHL        ,A ,Q,4410.70,4490.00,4301.10,4310.60,4302.00,4368.85,298,934,4068527.00,
500128,ELEC.CASTING,B ,Q,13.43,13.43,13.06,13.12,13.12,13.29,62,13372,176345.00,
500133,ESAB INDIA  ,B ,Q,1237.45,1271.80,1210.00,1243.75,1243.75,1236.85,64,317,393940.00,
500135,ESSEL PROP  ,A ,Q,134.00,140.80,126.10,134.75,134.75,128.00,1278,52418,7199925.00,
500136,ESTER INDUS.,T ,Q,34.80,35.75,34.50,34.50,34.50,34.35,15,1666,57524.00,
500141,FERRO ALLOYS,X ,Q,2.82,2.91,2.75,2.84,2.90,2.85,66,23022,64538.00,
500144,FINOL. CABLE,A ,Q,369.60,375.85,358.00,361.35,362.00,367.15,390,3158,1147652.00,
500147,CMI FPE     ,X ,Q,801.20,820.00,785.15,792.25,790.00,811.85,28,285,227002.00,
500148,UFLEX LTD   ,A ,Q,199.00,199.65,195.25,197.40,197.80,199.45,388,5618,1106181.00,
500150,FOSECO INDIA,B ,Q,1350.00,1350.00,1338.35,1350.00,1350.00,1354.00,67,106,142925.00,
500151,GOLDEN TOB  ,B ,Q,34.30,36.30,34.30,36.30,36.30,33.00,22,3702,134170.00,
500153,GANESH BENZO,X ,Q,46.00,47.30,45.50,46.90,47.30,46.35,70,10644,494132.00,
500155,GARDEN SILK ,B ,Q,11.98,11.98,11.00,11.01,11.00,11.15,31,1576,17553.00,
500159,METROGLOBL  ,X ,Q,53.45,53.45,50.75,51.00,51.00,54.45,6,451,23399.00,
500160,GTL LTD.    ,B ,Q,1.38,1.47,1.37,1.41,1.45,1.43,1910,12907,18346.00,
500163,GODFREY PH  ,A ,Q,1164.70,1272.00,1164.70,1249.75,1249.75,1164.80,3099,36638,45066298.00,
500164,GODREJ IND  ,A ,Q,437.00,457.80,425.10,429.00,429.00,431.10,1598,37168,16522043.00,
500165,KANSAI NERO ,A ,Q,541.95,544.75,538.55,541.30,541.00,541.35,621,23066,12481223.00,
500166,GOODRICKE   ,X ,Q,182.90,182.90,173.05,174.65,174.50,180.10,122,6668,1188487.00,
500168,GOODYEAR (I),B ,Q,975.85,1040.00,961.00,1006.55,1000.00,975.85,657,8443,8517299.00,
